"geo_id","Y","N","U"
"06075026100",1075,295,9
"06075026200",1199,372,2
"06075026301",760,171,2
"06075026302",936,212,3
"06075026303",778,205,2
"06075026401",651,162,0
"06075026402",795,237,0
"06075026403",596,195,0
"06075026404",338,113,0
"06075030101",401,475,0
"06075030102",883,360,0
"06075030201",355,411,3
"06075030202",318,451,0
"06075030301",1143,613,2
"06075030302",957,298,0
"06075030400",1405,354,1
"06075030500",740,199,0
"06075030600",727,133,0
"06075030700",2234,465,2
"06075030800",1575,394,1
"06075030900",2039,319,1
"06075031000",1071,207,0
"06075031100",1499,483,4
"06075031201",936,328,0
"06075031202",604,151,0
"06075031301",938,245,1
"06075031302",1222,412,1
"06075031400",1193,364,0
"06075032601",471,450,0
"06075032602",787,383,1
"06075032700",1364,548,1
"06075032801",783,346,0
"06075032802",846,368,0
"06075032901",1174,387,0
"06075032902",944,310,0
"06075033000",1836,565,0
"06075033100",1258,272,0
"06075033201",2,4,0
"06075033203",0,14,2
"06075033204",0,17,0
"06075035100",1514,725,0
"06075035201",1136,416,0
"06075035202",485,421,0
"06075035300",1591,543,1
"06075035400",1479,489,2
"06075040100",393,389,2
"06075040200",434,551,1
"06075042601",308,365,0
"06075042602",362,345,0
"06075042700",447,531,0
"06075042800",676,177,1
"06075045100",379,496,0
"06075045200",738,676,0
"06075047600",614,580,1
"06075047701",450,438,0
"06075047702",514,359,0
"06075047801",560,411,0
"06075047802",421,403,0
"06075047901",1201,590,3
"06075047902",618,317,0
"06075060100",15,12,0
"06075060400",129,31,0
"06075060502",186,40,0
"06075060700",1798,1001,13
"06075061000",627,267,1
"06075061100",85,92,0
"06075061200",424,298,0
"06075061400",947,516,4
"06075061500",3055,2578,39
"06075600200",2,0,0
"06075600300",18,2,0
"06075600401",2,2,0
"06075600402",1,0,0
"06075600700",12,1,0
"06075600900",4,0,0
"06075980200",16,25,0
"06075980300",8,5,0
"06075980501",69,20,0
"06075980600",84,72,0
"06075980900",34,123,0
"06081026200",4,1,0
"06081026302",1,2,0
"06081026303",23,3,0
"06081026403",2,0,0
"06081026404",2,0,0
"06081120200",0,0,4
"06081511200",1,0,0
"06081511302",2,0,0
"06081511705",2,1,0
"06081511707",0,1,0
"06081600100",1247,497,5
"06081600200",705,122,3
"06081600300",1019,212,4
"06081600401",876,200,3
"06081600402",811,219,2
"06081600500",1365,412,3
"06081600600",731,283,0
"06081600700",998,393,2
"06081600800",161,130,0
"06081600900",1126,260,0
"06081601000",1617,346,3
"06081601100",1430,339,2
"06081601200",1135,345,5
"06081601300",647,431,3
"06081601400",1294,385,3
"06081601501",998,242,1
"06081601502",206,70,5
"06081601601",430,85,3
"06081601603",1250,285,1
"06081601604",819,364,2
"06081601605",1315,313,3
"06081601700",1105,226,0
"06081601800",1639,340,2
"06081601901",826,304,3
"06081601902",623,243,3
"06081602000",1975,456,8
"06081602100",276,232,1
"06081602200",425,547,1
"06081602300",686,156,1
"06081602400",1549,330,2
"06081602500",1352,254,4
"06081602600",1897,599,7
"06081602700",1164,244,4
"06081602800",1085,251,6
"06081602900",814,216,1
"06081603000",877,337,3
"06081603100",1036,189,3
"06081603200",1070,264,6
"06081603300",1973,328,2
"06081603400",1664,254,4
"06081603700",1411,303,4
"06081603801",966,343,2
"06081603802",1343,221,2
"06081603900",1383,307,3
"06081604000",942,216,2
"06081604101",725,574,3
"06081604102",557,422,3
"06081604200",649,250,2
"06081604400",721,376,0
"06081604500",984,169,1
"06081604600",861,111,2
"06081604700",813,125,0
"06081604800",796,287,1
"06081604900",959,262,2
"06081605000",1824,369,2
"06081605100",520,268,1
"06081605200",1001,164,0
"06081605300",1046,336,3
"06081605400",1114,393,3
"06081605500",729,386,4
"06081605600",1717,316,1
"06081605700",1717,232,1
"06081605800",746,107,5
"06081605900",662,492,1
"06081606000",894,708,1
"06081606100",839,195,3
"06081606200",708,510,3
"06081606300",861,381,2
"06081606400",888,337,1
"06081606500",1147,136,7
"06081606600",772,314,2
"06081606700",767,118,2
"06081606800",952,160,1
"06081606900",744,72,0
"06081607000",842,224,2
"06081607100",992,136,2
