"geo_id","sqft_median","sqft_count","rooms_median","rooms_count","bedrms_median","bedrms_count","sqft_median_2012_sales","sqft_count_2012_sales","rooms_median_2012_sales","rooms_count_2012_sales","bedrms_median_2012_sales","bedrms_count_2012_sales"
"06013388000",1275.5,830,6.0,825,3.0,749,1093.0,30,6.0,30,2.0,28
"06013389100",1280.0,609,6.0,605,3.0,543,1130.0,15,6.0,15,2.0,15
"06013389200",2122.0,257,5.0,256,2.0,134,930.5,8,6.0,8,2.0,8
"06013390100",1705.0,932,7.0,932,3.0,932,1612.0,25,7.0,25,3.0,25
"06013390200",1378.5,774,6.0,774,3.0,774,1380.5,26,6.0,26,3.0,26
"06013391000",1932.0,1022,7.0,1020,3.0,1016,1755.0,32,7.0,32,3.0,32
"06013392000",1802.0,1078,7.0,1078,3.0,1078,1803.0,35,7.0,35,3.0,35
"06013392200",1440.0,2627,7.0,2616,3.0,2615,1655.0,163,7.0,163,3.0,163
"06013392300",2703.0,809,10.0,754,4.0,749,2703.0,45,10.0,45,4.0,45
"06013420100",1093.0,19,6.0,19,2.0,19,"",0,"",0,"",0
"06013420300",2968.0,1,4.0,1,"",0,"",0,"",0,"",0
"06013421200",1673.0,45,7.0,45,3.0,41,1953.0,2,6.5,2,2.5,2
"06013421300",1718.0,3,7.0,3,2.0,3,"",0,"",0,"",0
"06013450200",1440.0,1,6.0,1,2.0,1,"",0,"",0,"",0
"06013450300",1874.0,13,7.0,13,4.0,13,"",0,"",0,"",0
"06013451101",1560.0,1,"",0,"",0,"",0,"",0,"",0
"06041101100",2464.0,1021,7.0,260,3.0,1020,2734.0,38,6.0,11,4.0,38
"06041101200",1635.0,954,6.0,277,3.0,952,1885.0,40,7.0,8,3.0,40
"06041102100",2027.0,942,7.0,264,4.0,942,2066.0,24,7.0,6,3.5,24
"06041102202",1712.0,1944,7.0,653,3.0,1943,1804.0,78,7.0,29,4.0,78
"06041102203",1548.0,1179,6.0,289,3.0,1177,1360.0,168,6.0,13,2.0,168
"06041103100",1869.0,2646,7.0,1020,4.0,2645,1877.0,85,7.0,29,3.0,85
"06041103200",1554.0,1862,6.0,421,3.0,1863,1390.0,86,6.0,14,3.0,86
"06041104101",1801.0,2561,6.0,614,3.0,2559,1704.0,113,7.0,25,3.0,113
"06041104102",1323.0,1674,5.0,508,3.0,1670,1261.0,84,5.0,25,3.0,84
"06041104200",1770.0,1961,6.0,618,3.0,1958,1731.0,78,7.0,23,3.0,78
"06041104300",1935.0,699,7.0,255,3.0,699,1890.0,29,7.0,15,3.0,29
"06041105000",1758.0,1418,4.0,4,3.0,1413,2157.0,89,"",0,3.0,89
"06041106001",1249.0,937,4.0,20,2.0,913,1259.0,60,4.0,1,2.0,60
"06041106002",1475.5,1950,6.0,426,3.0,1943,1495.0,91,6.0,18,3.0,91
"06041107000",1785.0,2325,7.0,830,4.0,2325,1738.0,95,6.0,29,4.0,95
"06041108100",1708.0,2470,7.0,842,3.0,2470,1638.0,87,6.0,26,3.0,87
"06041108200",1754.0,1793,7.0,483,3.0,1793,1433.0,73,6.0,13,3.0,74
"06041109001",1993.0,819,7.0,226,3.0,828,1932.5,46,6.0,11,3.0,46
"06041109002",1771.5,1258,6.0,363,3.0,1268,1710.0,37,6.0,12,3.0,37
"06041110100",2114.0,1609,7.0,464,3.0,1611,1994.0,57,6.0,18,3.0,57
"06041110200",2304.0,2213,7.0,568,4.0,2212,2274.0,71,8.0,13,4.0,71
"06041111000",1708.0,966,6.0,255,3.0,982,1725.0,36,6.0,7,3.0,37
"06041112100",1609.5,1192,6.0,338,3.0,1196,1478.0,57,6.0,12,3.0,57
"06041112201",1143.0,321,5.0,79,2.0,314,1000.0,25,5.0,7,2.0,25
"06041112202",1344.0,911,5.0,304,3.0,911,1344.0,40,5.0,13,3.0,40
"06041113000",1524.0,1333,5.0,279,3.0,1329,1565.0,50,5.0,11,3.0,49
"06041114100",1480.0,1785,5.0,626,3.0,1794,1388.0,49,6.0,18,3.0,49
"06041114200",1558.0,1008,5.0,316,3.0,1010,1571.5,30,5.0,7,3.0,31
"06041115000",1915.0,2567,6.0,820,3.0,2571,1940.0,99,7.0,23,3.0,99
"06041116000",1577.0,1042,6.0,389,3.0,1046,1679.5,52,6.0,20,3.0,51
"06041117000",1848.0,1388,6.0,432,3.0,1398,1743.5,64,5.5,12,3.0,64
"06041118100",2712.5,806,7.0,179,4.0,809,2722.0,46,6.0,11,4.0,46
"06041119100",2569.0,1539,7.0,392,4.0,1541,2775.0,68,6.0,11,4.0,68
"06041119201",1234.0,822,4.0,166,2.0,823,1229.5,44,4.0,5,2.0,44
"06041119202",2198.0,1277,7.0,360,3.0,1277,2273.0,55,7.0,10,3.0,55
"06041120000",1938.0,1990,6.0,501,3.0,1998,1740.5,102,6.0,22,3.0,103
"06041121100",1624.0,1735,6.0,444,3.0,1739,1459.0,59,6.0,16,3.0,59
"06041121200",1568.0,1797,7.0,312,3.0,1790,1748.0,61,7.0,9,3.0,61
"06041123000",2800.0,849,7.0,232,4.0,849,2720.0,42,8.0,14,4.0,42
"06041124100",2345.5,1724,6.0,415,3.0,1729,1999.0,81,6.0,21,3.0,81
"06041124200",2434.0,2011,7.0,423,3.0,2012,2392.0,104,6.5,18,3.0,104
"06041125000",2117.0,1051,6.0,246,3.0,1053,2325.5,38,6.0,8,3.0,38
"06041126100",1892.0,2018,6.0,584,3.0,2030,1892.0,93,5.5,26,3.0,93
"06041126200",1520.0,1478,6.0,487,3.0,1475,1356.0,53,5.0,20,3.0,53
"06041127000",2159.0,1509,6.0,412,3.0,1516,2251.0,72,7.0,19,3.0,73
"06041128100",1819.0,2363,6.0,823,3.0,2370,1852.0,107,6.0,34,3.0,107
"06041128200",1866.0,1767,6.0,516,3.0,1767,1820.0,76,6.0,17,3.0,75
"06041129000",1382.0,237,5.0,12,3.0,237,1382.0,16,3.0,1,3.0,16
"06041130201",2049.0,1173,6.0,225,3.0,1183,2146.0,55,6.0,12,3.0,55
"06041130202",1550.5,1354,5.0,369,2.0,1361,1408.0,57,5.0,15,2.0,57
