"geo_id","","A","C","I","M","R","V","ADAI","AFAR","ALIV","AMSC","AORC","APAS","APOU","ATIM","AVIN","CAUT","CCEM","CCOM","CDEP","CEAT","CFIN","CFOO","CHOS","CHOT","CLAU","CMED","CMOB","CMSC","CNUR","COFF","CPAR","CSER","CSHO","CSTO","CVET","IFOO","IHEA","ILIG","ILUM","IMIN","IMSC","IPET","IPUB","IWAR","IWIN","MBOW","MCLU","MCMN","MGOL","MGOV","MMAR","MMSC","MNAT","MREC","MREL","MROA","MSCH","MTHE","MTRA","MUTI","RAPT","RCON","RCOO","RDUP","RMFD","RMOB","RMSC","RQUA","RSFR","RTIM","RTRI","VAGR","VCOM","VIND","VMSC","VRES","VWAS"
"06097153704",0,174,126,11,93,1943,1094,0,1,1,0,2,28,0,129,13,1,3,6,0,10,2,1,0,31,0,3,3,26,1,10,10,3,2,13,1,0,0,1,0,5,1,0,0,2,2,0,4,0,1,21,0,3,0,5,8,19,3,0,1,28,6,0,0,140,0,44,5,13,1712,0,23,0,6,0,631,442,15
"06097153705",2,166,35,12,80,1413,585,0,0,0,0,2,45,0,52,67,0,1,2,0,4,1,0,1,5,0,2,2,7,0,2,2,2,1,3,0,0,0,1,0,1,1,0,0,0,9,0,2,0,0,8,0,20,0,10,2,17,12,0,1,8,0,0,0,54,1,35,13,0,1302,0,8,0,2,0,181,389,13
"06097153706",14,182,36,31,141,1751,670,1,6,1,0,10,20,0,48,96,0,1,1,0,3,0,0,1,1,0,1,3,13,1,2,1,4,1,2,1,2,0,4,1,12,0,0,1,2,9,0,3,0,3,11,0,14,23,5,3,19,0,0,0,60,3,0,0,30,0,168,40,1,1507,0,2,0,6,2,458,191,13
"06097153801",5,152,14,25,108,2685,93,1,1,0,0,3,39,0,2,106,0,1,0,0,2,0,0,2,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0,1,14,0,0,0,1,9,0,1,0,0,63,0,18,0,5,0,12,7,0,0,2,1,0,0,46,0,18,6,2,2609,0,3,0,4,0,12,68,9
"06097153804",0,0,22,0,27,1128,27,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,2,1,1,1,0,0,0,0,65,0,0,0,0,122,0,941,0,0,0,0,0,0,27,0
"06097153806",0,3,33,1,24,1057,18,0,0,0,0,0,0,0,0,3,0,0,1,0,3,1,1,1,0,0,2,0,16,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,1,1,0,0,0,0,0,4,32,0,10,0,4,62,1,943,0,1,0,2,0,1,15,0
"06097153807",1,141,25,2,36,1295,40,0,0,0,0,1,55,1,43,41,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,7,0,2,0,0,0,2,0,0,0,4,0,5,2,0,1284,0,0,0,0,0,0,38,2
"06097153808",12,2,186,46,54,1225,65,0,0,0,0,0,1,0,1,0,3,1,2,0,15,1,2,1,1,0,2,4,28,0,82,1,6,2,34,1,0,0,23,1,0,6,0,2,12,2,1,0,0,0,28,0,0,0,2,6,14,2,0,0,1,11,305,0,15,2,233,27,1,627,0,4,0,19,20,7,18,1
"06097153809",6,13,44,1,26,1274,34,0,1,0,0,0,1,0,0,11,1,0,1,0,1,0,1,2,0,0,0,3,26,0,0,0,1,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,3,0,2,1,2,0,0,0,0,4,33,0,18,0,109,41,0,1067,0,2,0,7,0,7,20,0
"06097153901",3,223,72,49,71,1934,586,0,0,0,0,1,88,1,12,121,5,1,0,0,2,0,1,0,4,0,2,2,42,3,2,0,4,0,3,1,1,0,9,1,8,2,0,0,18,10,0,1,0,0,16,0,4,0,3,3,31,4,0,0,9,7,91,0,44,0,22,38,2,1726,0,4,0,6,16,330,224,10
"06097153902",1,6,274,56,67,1173,103,0,1,0,0,0,2,0,0,3,7,0,17,2,17,5,3,5,19,0,14,2,31,1,75,10,14,12,38,2,0,0,22,6,2,2,0,3,17,4,0,2,0,0,16,0,6,0,4,5,23,6,1,0,4,23,173,1,85,0,65,14,24,770,0,18,0,26,15,11,49,2
"06097153903",1,2,35,0,54,1439,61,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,1,3,0,5,0,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,1,0,5,8,8,10,0,0,1,12,167,0,118,0,5,2,10,1108,0,17,0,0,0,6,54,1
"06097154000",2,812,11,55,53,647,140,1,0,0,0,8,168,0,227,408,0,0,0,0,0,0,0,2,2,0,0,0,4,2,0,0,1,0,0,0,0,0,1,0,21,1,0,0,0,32,0,1,0,0,14,0,7,0,3,2,7,2,0,1,16,0,0,0,12,1,14,13,1,605,0,1,0,0,1,41,83,15
"06097154100",3,1239,45,72,115,949,253,1,5,0,0,7,331,1,293,601,3,4,2,0,1,0,0,0,5,0,1,0,9,1,10,1,2,0,6,0,2,0,0,0,19,2,0,0,2,47,0,3,1,0,13,0,9,1,5,3,30,4,0,0,46,1,30,0,20,0,37,6,1,853,0,1,0,3,5,94,138,13
"06097154201",3,82,101,29,98,972,161,0,0,0,0,0,29,0,2,51,4,2,4,0,6,1,1,0,7,0,4,2,35,1,9,4,11,1,9,0,0,2,4,11,4,1,0,0,6,1,0,2,0,0,52,0,3,0,2,6,20,0,1,1,11,21,34,0,44,0,63,20,7,781,0,2,0,19,12,39,89,2
"06097154202",3,276,80,25,77,2180,303,0,0,0,0,0,185,0,60,31,2,0,0,1,4,2,1,1,5,0,3,1,35,0,5,2,6,1,11,0,0,0,9,2,0,2,0,3,5,4,0,1,0,0,27,0,1,0,13,5,11,13,1,0,5,6,179,0,49,0,22,0,3,1917,0,4,0,12,5,193,93,0
"06097154302",3,253,141,5,87,1933,720,9,2,1,0,4,130,0,54,53,0,3,3,0,8,0,2,0,14,0,1,0,86,2,11,1,1,1,8,0,1,0,0,1,0,0,0,0,2,1,0,3,0,0,34,0,4,0,14,5,8,6,1,0,12,0,8,0,18,0,16,12,1,1877,0,1,0,13,0,72,632,3
