"geo_id","2004_Y","2004_N","2004_U","2005_Y","2005_N","2005_U","2006_Y","2006_N","2006_U","2007_Y","2007_N","2007_U","2008_Y","2008_N","2008_U","2009_Y","2009_N","2009_U","2010_Y","2010_N","2010_U","2011_Y","2011_N","2011_U","2012_Y","2012_N","2012_U","2013_Y","2013_N","2013_U","2014_Y","2014_N","2014_U"
"06001422900",0,0,0,0,0,0,33,86,0,36,101,0,40,102,0,7,18,0,37,106,0,39,106,1,35,111,0,31,116,0,0,0,0
"06001423000",5,1,0,0,0,0,683,252,0,773,301,5,790,295,4,147,48,3,741,310,4,776,310,4,770,320,4,760,327,4,0,0,0
"06001423100",10,4,0,0,0,0,613,217,2,720,261,4,721,267,4,142,59,2,685,270,6,708,281,8,716,278,5,717,277,5,0,0,0
"06001423200",3,2,0,0,0,0,248,160,1,314,205,3,311,213,4,58,43,2,300,214,3,307,222,5,318,217,3,308,230,3,0,0,0
"06001423300",9,1,1,0,0,0,624,200,1,794,256,0,782,272,0,172,76,5,739,272,1,772,282,5,777,282,1,779,285,1,0,0,0
"06001423400",12,2,0,0,0,0,589,284,1,721,353,1,724,364,1,179,95,6,664,366,3,714,381,2,713,384,1,719,381,2,0,0,0
"06001423500",1,1,0,0,0,0,314,167,2,365,199,4,367,199,4,62,28,1,356,193,3,368,201,3,374,200,3,374,204,3,0,0,0
"06001423601",4,1,0,0,0,0,407,185,1,449,216,9,452,216,13,91,53,1,441,207,11,460,211,11,455,221,11,453,224,9,0,0,0
"06001423602",4,1,0,0,0,0,278,256,0,305,309,3,315,321,3,51,64,0,312,312,3,330,309,5,311,331,3,302,339,3,0,0,0
"06001423700",11,0,0,0,0,0,428,179,0,483,212,2,483,216,2,90,32,1,470,215,2,481,222,3,483,226,3,486,219,2,0,0,0
"06001423800",8,4,0,0,0,0,825,155,1,929,175,7,942,168,6,192,32,1,902,176,6,925,187,6,934,182,5,932,189,5,0,0,0
"06001423901",3,2,0,0,0,0,243,125,0,289,158,2,290,160,2,64,32,2,280,160,2,289,167,2,287,171,2,287,170,2,0,0,0
"06001423902",1,1,0,0,0,0,227,99,0,279,122,1,276,129,2,74,16,0,261,125,1,277,129,1,275,136,1,283,131,1,0,0,0
"06001424001",8,3,0,0,0,0,276,211,0,357,273,0,352,277,2,64,62,6,339,274,3,353,289,1,353,287,3,351,291,1,0,0,0
"06001424002",5,2,0,0,0,0,284,142,0,355,191,0,351,203,1,78,50,4,334,198,1,354,198,2,356,200,1,366,189,0,0,0,0
